iter	Logloss
0	0.6550547945
1	0.6181043171
2	0.5850098334
3	0.5545710955
4	0.5295975887
5	0.5063448578
6	0.4848690714
7	0.4663836833
8	0.4527213726
9	0.438404082
10	0.4228428329
11	0.410885337
12	0.4017361326
13	0.3940006562
14	0.3864566964
15	0.37968329
16	0.371794946
17	0.3648707984
18	0.3579880527
19	0.353457215
20	0.3497664488
21	0.3456810362
22	0.3426115467
23	0.3393680732
24	0.3369352361
25	0.3336564103
26	0.3304098221
27	0.327777274
28	0.325682197
29	0.3241865374
30	0.3227891968
31	0.3193826228
32	0.3177097536
33	0.3150646022
34	0.3136329914
35	0.3113509082
36	0.309368027
37	0.3063831467
38	0.3056945407
39	0.3026125404
40	0.3017484427
41	0.3007970763
42	0.2983944535
43	0.2960088061
44	0.2953682911
45	0.2941511262
46	0.293635519
47	0.2921896933
48	0.2910303998
49	0.2906383424
50	0.2889787933
51	0.2882682162
52	0.2870157313
53	0.286327753
54	0.2852440145
55	0.2846148819
56	0.2796658449
57	0.2776503499
58	0.2766430451
59	0.2760228377
60	0.2742677959
61	0.2723245318
62	0.2717123284
63	0.2704852922
64	0.2695635541
65	0.2691836943
66	0.266655668
67	0.2659260419
68	0.264105711
69	0.2631479808
70	0.262422262
71	0.2619519936
72	0.2614288843
73	0.2607711742
74	0.2605286111
75	0.2592190316
76	0.2588312996
77	0.2586116716
78	0.2583827725
79	0.2581764093
80	0.2579054512
81	0.256692854
82	0.2554837387
83	0.254159228
84	0.2536040988
85	0.2528924498
86	0.2515810318
87	0.2504522578
88	0.2494943061
89	0.248708414
90	0.2484425203
91	0.2475926032
92	0.2474010685
93	0.2471009171
94	0.2468938032
95	0.245913084
96	0.2451215648
97	0.2433653302
98	0.2431462297
99	0.242934219
100	0.2426274488
101	0.2424865389
102	0.2422532632
103	0.2411526996
104	0.2409639857
105	0.2404527179
106	0.2397240054
107	0.2395770886
108	0.2382409941
109	0.2380274709
110	0.2378509653
111	0.2362251365
112	0.2360614951
113	0.2358695875
114	0.2351487002
115	0.2350145677
116	0.2348479188
117	0.2341938298
118	0.2340265877
119	0.2324720713
120	0.2317134833
121	0.2313167589
122	0.2310790938
123	0.2309142225
124	0.230760584
125	0.2305666423
126	0.2303957063
127	0.2301750692
128	0.2300485244
129	0.2295487112
130	0.2291017104
131	0.2289505801
132	0.2284927694
133	0.227936848
134	0.2278239842
135	0.2276893486
136	0.2274967451
137	0.2270144734
138	0.2268657756
139	0.2267223735
140	0.2262033916
141	0.2260583058
142	0.2259541529
143	0.2258064536
144	0.2255812683
145	0.225501111
146	0.2249420567
147	0.2248363718
148	0.2246796318
149	0.2245530723
150	0.2244571195
151	0.2240737025
152	0.2239458036
153	0.2238031628
154	0.2235911324
155	0.2233087826
156	0.2228893073
157	0.2227420608
158	0.2226579985
159	0.2223368876
160	0.221880383
161	0.2212196956
