iter	Passed	Remaining
0	181	90773
1	219	54643
2	267	44358
3	312	38801
4	362	35934
5	409	33756
6	456	32125
7	487	29959
8	533	29086
9	569	27892
10	613	27274
11	664	27021
12	713	26724
13	762	26471
14	812	26257
15	863	26117
16	900	25586
17	918	24583
18	963	24388
19	1013	24334
20	1051	23975
21	1074	23355
22	1113	23098
23	1163	23083
24	1198	22773
25	1234	22509
26	1265	22177
27	1270	21421
28	1315	21364
29	1364	21372
30	1414	21401
31	1464	21425
32	1507	21330
33	1556	21332
34	1610	21391
35	1650	21276
36	1698	21258
37	1750	21282
38	1791	21181
39	1834	21097
40	1873	20974
41	1908	20809
42	1951	20736
43	1998	20711
44	2038	20608
45	2055	20283
46	2098	20230
47	2139	20149
48	2179	20058
49	2203	19829
50	2250	19812
51	2280	19647
52	2325	19612
53	2355	19456
54	2399	19416
55	2450	19430
56	2501	19443
57	2539	19356
58	2576	19261
59	2624	19244
60	2665	19185
61	2701	19084
62	2750	19076
63	2800	19076
64	2831	18949
65	2854	18768
66	2900	18745
67	2945	18711
68	2984	18644
69	3004	18455
70	3048	18422
71	3069	18248
72	3102	18150
73	3150	18135
74	3182	18033
75	3225	17992
76	3261	17919
77	3301	17860
78	3348	17844
79	3390	17802
80	3438	17788
81	3476	17721
82	3517	17673
83	3555	17606
84	3600	17580
85	3640	17523
86	3682	17479
87	3721	17421
88	3752	17327
89	3789	17265
90	3803	17096
91	3851	17078
92	3889	17022
93	3904	16865
94	3950	16842
95	3987	16779
96	4003	16634
97	4050	16614
98	4079	16524
99	4121	16485
100	4153	16410
101	4197	16378
102	4245	16362
103	4284	16315
104	4299	16175
105	4348	16164
106	4393	16137
107	4429	16076
108	4451	15967
109	4485	15902
110	4501	15775
111	4548	15755
112	4575	15668
113	4600	15577
114	4605	15419
115	4651	15399
116	4698	15380
117	4736	15334
118	4776	15291
119	4801	15203
120	4846	15180
121	4884	15133
122	4921	15083
123	4950	15010
124	4997	14993
125	5036	14949
126	5072	14898
127	5099	14819
128	5147	14802
129	5182	14751
130	5223	14712
131	5250	14639
132	5295	14612
133	5345	14599
134	5384	14556
135	5439	14557
136	5472	14500
137	5519	14478
138	5551	14417
139	5596	14389
140	5633	14343
141	5682	14325
142	5722	14287
143	5748	14210
144	5753	14086
145	5795	14053
146	5845	14036
147	5896	14023
148	5928	13966
149	5968	13925
150	6007	13883
151	6047	13846
152	6095	13825
153	6141	13799
154	6184	13764
155	6201	13674
156	6247	13649
157	6297	13630
158	6330	13577
159	6359	13513
160	6402	13480
161	6448	13455
162	6497	13432
163	6531	13381
164	6566	13332
165	6598	13277
166	6645	13250
167	6685	13210
168	6735	13191
169	6776	13153
170	6799	13082
171	6847	13058
172	6884	13012
173	6921	12966
174	6950	12907
175	6996	12880
176	7030	12829
177	7056	12764
178	7098	12729
179	7139	12693
180	7180	12654
181	7219	12613
182	7260	12576
183	7300	12538
184	7347	12511
185	7380	12459
186	7426	12430
187	7470	12397
188	7500	12342
189	7547	12314
190	7591	12281
191	7631	12242
