MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP
4,1,2,AA,CLT,NC,SEA,WA,0940,-6.00,0.00,0.00,-1,1250,0.00,370.00,2279.00,10
4,1,2,AA,CLT,NC,SEA,WA,1623,-4.00,0.00,0.00,-1,1915,0.00,352.00,2279.00,10
4,1,2,AA,CLT,NC,SEA,WA,1805,-4.00,0.00,0.00,-1,2056,0.00,351.00,2279.00,10
4,1,2,AA,DFW,TX,GEG,WA,1930,11.00,11.00,0.00,0,2113,0.00,223.00,1477.00,6
4,1,2,AA,DFW,TX,SEA,WA,0705,-4.00,0.00,0.00,-1,0933,0.00,268.00,1660.00,7
4,1,2,AA,DFW,TX,SEA,WA,0828,6.00,6.00,0.00,0,1051,0.00,263.00,1660.00,7
4,1,2,AA,DFW,TX,SEA,WA,1028,0.00,0.00,0.00,0,1300,0.00,272.00,1660.00,7
4,1,2,AA,DFW,TX,SEA,WA,1330,52.00,52.00,1.00,3,1548,0.00,258.00,1660.00,7
4,1,2,AA,DFW,TX,SEA,WA,1649,1.00,1.00,0.00,0,1908,0.00,259.00,1660.00,7
4,1,2,AA,DFW,TX,SEA,WA,1851,2.00,2.00,0.00,0,2110,0.00,259.00,1660.00,7
4,1,2,AA,DFW,TX,SEA,WA,2050,35.00,35.00,1.00,2,2309,0.00,259.00,1660.00,7
4,1,2,AA,DFW,TX,SEA,WA,2230,15.00,15.00,1.00,1,0048,0.00,258.00,1660.00,7
4,1,2,AA,GEG,WA,DFW,TX,0534,-1.00,0.00,0.00,-1,1112,0.00,218.00,1477.00,6
4,1,2,AA,GEG,WA,PHX,AZ,0632,-5.00,0.00,0.00,-1,0920,0.00,168.00,1020.00,5
4,1,2,AA,GEG,WA,PHX,AZ,1527,15.00,15.00,1.00,1,1807,0.00,160.00,1020.00,5
4,1,2,AA,MIA,FL,SEA,WA,1935,3.00,3.00,0.00,0,2325,0.00,410.00,2724.00,11
4,1,2,AA,ORD,IL,SEA,WA,0953,9.00,9.00,0.00,0,1235,0.00,282.00,1721.00,7
4,1,2,AA,ORD,IL,SEA,WA,2025,8.00,8.00,0.00,0,2307,0.00,282.00,1721.00,7
4,1,2,AA,PHL,PA,SEA,WA,1848,-14.00,0.00,0.00,-1,2205,0.00,377.00,2378.00,10
4,1,2,AA,PHX,AZ,GEG,WA,1158,6.00,6.00,0.00,0,1442,0.00,164.00,1020.00,5
4,1,2,AA,PHX,AZ,GEG,WA,2024,87.00,87.00,1.00,5,2304,0.00,160.00,1020.00,5
4,1,2,AA,SEA,WA,CLT,NC,0720,-3.00,0.00,0.00,-1,1519,0.00,299.00,2279.00,10
4,1,2,AA,SEA,WA,CLT,NC,1350,-3.00,0.00,0.00,-1,2150,0.00,300.00,2279.00,10
4,1,2,AA,SEA,WA,CLT,NC,2200,-6.00,0.00,0.00,-1,0600,0.00,300.00,2279.00,10
4,1,2,AA,SEA,WA,DFW,TX,0059,47.00,47.00,1.00,3,0654,0.00,235.00,1660.00,7
4,1,2,AA,SEA,WA,DFW,TX,0522,-12.00,0.00,0.00,-1,1116,0.00,234.00,1660.00,7
4,1,2,AA,SEA,WA,DFW,TX,0700,-3.00,0.00,0.00,-1,1254,0.00,234.00,1660.00,7
4,1,2,AA,SEA,WA,DFW,TX,1041,-3.00,0.00,0.00,-1,1635,0.00,234.00,1660.00,7
4,1,2,AA,SEA,WA,DFW,TX,1155,-2.00,0.00,0.00,-1,1750,0.00,235.00,1660.00,7
4,1,2,AA,SEA,WA,DFW,TX,1405,-2.00,0.00,0.00,-1,1958,0.00,233.00,1660.00,7
4,1,2,AA,SEA,WA,DFW,TX,1730,-4.00,0.00,0.00,-1,2324,0.00,234.00,1660.00,7
