MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP
5,1,4,AA,CLT,NC,SEA,WA,0937,31.00,31.00,1.00,2,1233,0.00,356.00,2279.00,10
5,1,4,AA,CLT,NC,SEA,WA,1635,38.00,38.00,1.00,2,1925,0.00,350.00,2279.00,10
5,1,4,AA,CLT,NC,SEA,WA,1818,5.00,5.00,0.00,0,2104,0.00,346.00,2279.00,10
5,1,4,AA,DFW,TX,GEG,WA,1955,94.00,94.00,1.00,6,2138,0.00,223.00,1477.00,6
5,1,4,AA,DFW,TX,SEA,WA,0700,-5.00,0.00,0.00,-1,0929,0.00,269.00,1660.00,7
5,1,4,AA,DFW,TX,SEA,WA,0829,-1.00,0.00,0.00,-1,1100,0.00,271.00,1660.00,7
5,1,4,AA,DFW,TX,SEA,WA,1026,-6.00,0.00,0.00,-1,1301,0.00,275.00,1660.00,7
5,1,4,AA,DFW,TX,SEA,WA,1316,98.00,98.00,1.00,6,1537,0.00,261.00,1660.00,7
5,1,4,AA,DFW,TX,SEA,WA,1638,0.00,0.00,0.00,0,1900,0.00,262.00,1660.00,7
5,1,4,AA,DFW,TX,SEA,WA,1850,17.00,17.00,1.00,1,2114,0.00,264.00,1660.00,7
5,1,4,AA,DFW,TX,SEA,WA,2042,17.00,17.00,1.00,1,2301,0.00,259.00,1660.00,7
5,1,4,AA,DFW,TX,SEA,WA,2230,21.00,21.00,1.00,1,0051,0.00,261.00,1660.00,7
5,1,4,AA,GEG,WA,DFW,TX,0534,-7.00,0.00,0.00,-1,1104,0.00,210.00,1477.00,6
5,1,4,AA,GEG,WA,PHX,AZ,0627,-6.00,0.00,0.00,-1,0905,0.00,158.00,1020.00,5
5,1,4,AA,GEG,WA,PHX,AZ,1521,-9.00,0.00,0.00,-1,1756,0.00,155.00,1020.00,5
5,1,4,AA,MIA,FL,SEA,WA,1947,-4.00,0.00,0.00,-1,2339,0.00,412.00,2724.00,11
5,1,4,AA,ORD,IL,SEA,WA,0735,-5.00,0.00,0.00,-1,1015,0.00,280.00,1721.00,7
5,1,4,AA,ORD,IL,SEA,WA,1005,-2.00,0.00,0.00,-1,1243,0.00,278.00,1721.00,7
5,1,4,AA,ORD,IL,SEA,WA,2025,67.00,67.00,1.00,4,2309,0.00,284.00,1721.00,7
5,1,4,AA,PHL,PA,SEA,WA,1846,-2.00,0.00,0.00,-1,2159,0.00,373.00,2378.00,10
5,1,4,AA,PHX,AZ,GEG,WA,1055,-5.00,0.00,0.00,-1,1338,0.00,163.00,1020.00,5
5,1,4,AA,PHX,AZ,GEG,WA,2024,-7.00,0.00,0.00,-1,2259,0.00,155.00,1020.00,5
5,1,4,AA,SEA,WA,CLT,NC,0720,-6.00,0.00,0.00,-1,1527,0.00,307.00,2279.00,10
5,1,4,AA,SEA,WA,CLT,NC,1335,3.00,3.00,0.00,0,2139,0.00,304.00,2279.00,10
5,1,4,AA,SEA,WA,CLT,NC,2205,-5.00,0.00,0.00,-1,0609,0.00,304.00,2279.00,10
5,1,4,AA,SEA,WA,DFW,TX,0059,11.00,11.00,0.00,0,0654,0.00,235.00,1660.00,7
