MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4,1,2,4/1/2025 0:00,AA,CLT,NC,SEA,WA,940,-6,0,0,-1,24,0,370,2279,10,,,,,
4,1,2,4/1/2025 0:00,AA,CLT,NC,SEA,WA,1623,-4,0,0,-1,24,0,352,2279,10,,,,,
4,1,2,4/1/2025 0:00,AA,CLT,NC,SEA,WA,1805,-4,0,0,-1,11,0,351,2279,10,,,,,
4,1,2,4/1/2025 0:00,AA,DFW,TX,GEG,WA,1930,11,11,0,0,20,0,223,1477,6,,,,,
4,1,2,4/1/2025 0:00,AA,DFW,TX,SEA,WA,705,-4,0,0,-1,20,0,268,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,DFW,TX,SEA,WA,828,6,6,0,0,20,0,263,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,DFW,TX,SEA,WA,1028,0,0,0,0,25,0,272,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,DFW,TX,SEA,WA,1330,52,52,1,3,9,0,258,1660,7,6,0,0,0,20
4,1,2,4/1/2025 0:00,AA,DFW,TX,SEA,WA,1649,1,1,0,0,14,0,259,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,DFW,TX,SEA,WA,1851,2,2,0,0,20,0,259,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,DFW,TX,SEA,WA,2050,35,35,1,2,19,0,259,1660,7,18,0,0,0,0
4,1,2,4/1/2025 0:00,AA,DFW,TX,SEA,WA,2230,15,15,1,1,19,0,258,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,GEG,WA,DFW,TX,534,-1,0,0,-1,26,0,218,1477,6,,,,,
4,1,2,4/1/2025 0:00,AA,GEG,WA,PHX,AZ,632,-5,0,0,-1,26,0,168,1020,5,,,,,
4,1,2,4/1/2025 0:00,AA,GEG,WA,PHX,AZ,1527,15,15,1,1,11,0,160,1020,5,,,,,
4,1,2,4/1/2025 0:00,AA,MIA,FL,SEA,WA,1935,3,3,0,0,16,0,410,2724,11,,,,,
4,1,2,4/1/2025 0:00,AA,ORD,IL,SEA,WA,953,9,9,0,0,15,0,282,1721,7,,,,,
4,1,2,4/1/2025 0:00,AA,ORD,IL,SEA,WA,2025,8,8,0,0,27,0,282,1721,7,,,,,
4,1,2,4/1/2025 0:00,AA,PHL,PA,SEA,WA,1848,-14,0,0,-1,10,0,377,2378,10,,,,,
4,1,2,4/1/2025 0:00,AA,PHX,AZ,GEG,WA,1158,6,6,0,0,12,0,164,1020,5,,,,,
4,1,2,4/1/2025 0:00,AA,PHX,AZ,GEG,WA,2024,87,87,1,5,12,0,160,1020,5,77,0,0,0,0
4,1,2,4/1/2025 0:00,AA,SEA,WA,CLT,NC,720,-3,0,0,-1,28,0,299,2279,10,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,CLT,NC,1350,-3,0,0,-1,20,0,300,2279,10,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,CLT,NC,2200,-6,0,0,-1,20,0,300,2279,10,0,0,26,0,0
4,1,2,4/1/2025 0:00,AA,SEA,WA,DFW,TX,59,47,47,1,3,17,0,235,1660,7,0,0,0,0,28
4,1,2,4/1/2025 0:00,AA,SEA,WA,DFW,TX,522,-12,0,0,-1,23,0,234,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,DFW,TX,700,-3,0,0,-1,15,0,234,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,DFW,TX,1041,-3,0,0,-1,18,0,234,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,DFW,TX,1155,-2,0,0,-1,32,0,235,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,DFW,TX,1405,-2,0,0,-1,16,0,233,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,DFW,TX,1730,-4,0,0,-1,14,0,234,1660,7,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,DFW,TX,2359,35,35,1,2,13,0,236,1660,7,13,0,0,0,13
4,1,2,4/1/2025 0:00,AA,SEA,WA,MIA,FL,2201,4,4,0,0,24,0,348,2724,11,4,0,16,0,0
4,1,2,4/1/2025 0:00,AA,SEA,WA,ORD,IL,1325,-7,0,0,-1,14,0,237,1721,7,,,,,
4,1,2,4/1/2025 0:00,AA,SEA,WA,ORD,IL,2359,44,44,1,2,15,0,240,1721,7,0,44,12,0,0
4,1,2,4/1/2025 0:00,AA,SEA,WA,PHL,PA,2314,-10,0,0,-1,18,0,301,2378,10,,,,,
4,1,2,4/1/2025 0:00,AS,ABQ,NM,SEA,WA,800,-17,0,0,-2,15,0,204,1180,5,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,31,-1,0,0,-1,12,0,209,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,131,-4,0,0,-1,9,0,209,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,158,7,7,0,0,14,0,209,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,231,-9,0,0,-1,18,0,209,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,259,12,12,0,0,11,0,209,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,600,-5,0,0,-1,10,0,212,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,700,-6,0,0,-1,15,0,212,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,1005,-3,0,0,-1,17,0,210,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,1218,42,42,1,2,16,0,211,1448,6,22,0,0,0,0
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,1420,64,64,1,4,12,0,211,1448,6,0,0,0,0,39
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,1630,6,6,0,0,19,0,210,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ANC,AK,SEA,WA,1930,-8,0,0,-1,11,0,208,1448,6,,,,,
4,1,2,4/1/2025 0:00,AS,ATL,GA,SEA,WA,800,6,6,0,0,17,0,335,2182,9,,,,,
4,1,2,4/1/2025 0:00,AS,ATL,GA,SEA,WA,1918,31,31,1,2,16,0,340,2182,9,,,,,
4,1,2,4/1/2025 0:00,AS,AUS,TX,SEA,WA,735,-2,0,0,-1,19,0,274,1770,8,,,,,
4,1,2,4/1/2025 0:00,AS,AUS,TX,SEA,WA,1330,-10,0,0,-1,25,0,280,1770,8,,,,,
4,1,2,4/1/2025 0:00,AS,AUS,TX,SEA,WA,1811,-5,0,0,-1,18,0,279,1770,8,,,,,
4,1,2,4/1/2025 0:00,AS,BNA,TN,SEA,WA,700,11,11,0,0,18,0,310,1978,8,,,,,
4,1,2,4/1/2025 0:00,AS,BNA,TN,SEA,WA,1746,28,28,1,1,68,0,308,1978,8,0,0,55,0,0
4,1,2,4/1/2025 0:00,AS,BOI,ID,SEA,WA,940,-9,0,0,-1,32,0,99,399,2,,,,,
4,1,2,4/1/2025 0:00,AS,BOI,ID,SEA,WA,1447,48,48,1,3,21,0,90,399,2,0,0,0,0,48
4,1,2,4/1/2025 0:00,AS,BOS,MA,SEA,WA,700,170,170,1,11,21,0,388,2496,10,139,0,0,0,0
4,1,2,4/1/2025 0:00,AS,BOS,MA,SEA,WA,1730,-11,0,0,-1,26,0,384,2496,10,,,,,
4,1,2,4/1/2025 0:00,AS,BUR,CA,SEA,WA,700,10,10,0,0,37,0,165,937,4,0,0,36,0,0
4,1,2,4/1/2025 0:00,AS,BUR,CA,SEA,WA,1206,25,25,1,1,21,0,166,937,4,0,0,0,0,19
4,1,2,4/1/2025 0:00,AS,BUR,CA,SEA,WA,1351,-15,0,0,-1,21,0,166,937,4,,,,,
