MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyVisibility,HourlyWindSpeed
6,5,4,AA,GEG,WA,DFW,TX,5.9,-10.0,0.0,0.0,-1.0,11.42,211.0,1477.0,6,43.0,56.0,62.0,10.0,3.0
6,5,4,AA,GEG,WA,DFW,TX,12.58,2.0,2.0,0.0,0.0,18.08,210.0,1477.0,6,36.0,78.0,22.0,10.0,7.0
6,5,4,AA,GEG,WA,ORD,IL,13.85,-10.0,0.0,0.0,-1.0,19.58,224.0,1498.0,6,34.0,77.0,21.0,10.0,0.0
6,5,4,AA,GEG,WA,PHX,AZ,15.17,3.0,3.0,0.0,0.0,17.73,154.0,1020.0,5,30.0,79.0,17.0,10.0,7.0
6,5,4,AA,SEA,WA,CLT,NC,5.5,-12.0,0.0,0.0,-1.0,13.55,303.0,2279.0,10,51.0,52.0,97.0,2.0,0.0
6,5,4,AA,SEA,WA,CLT,NC,7.2,-9.0,0.0,0.0,-1.0,15.25,303.0,2279.0,10,51.0,57.0,81.0,10.0,6.0
6,5,4,AA,SEA,WA,CLT,NC,13.52,48.0,48.0,1.0,3.0,21.73,313.0,2279.0,10,49.0,73.0,43.0,10.0,8.0
6,5,4,AA,SEA,WA,CLT,NC,21.83,8.0,8.0,0.0,0.0,5.9,304.0,2279.0,10,50.0,66.0,56.0,10.0,11.0
6,5,4,AA,SEA,WA,CLT,NC,23.92,-5.0,0.0,0.0,-1.0,7.98,304.0,2279.0,10,50.0,65.0,59.0,10.0,9.0
6,5,4,AA,SEA,WA,DFW,TX,5.53,-11.0,0.0,0.0,-1.0,11.45,235.0,1660.0,7,51.0,52.0,97.0,2.0,0.0
6,5,4,AA,SEA,WA,DFW,TX,7.83,-8.0,0.0,0.0,-1.0,13.72,233.0,1660.0,7,51.0,57.0,81.0,10.0,6.0
6,5,4,AA,SEA,WA,DFW,TX,10.15,9.0,9.0,0.0,0.0,16.18,242.0,1660.0,7,53.0,65.0,66.0,10.0,9.0
6,5,4,AA,SEA,WA,DFW,TX,11.73,18.0,18.0,1.0,1.0,17.83,246.0,1660.0,7,52.0,68.0,57.0,10.0,9.0
6,5,4,AA,SEA,WA,DFW,TX,13.58,-1.0,0.0,0.0,-1.0,19.65,244.0,1660.0,7,49.0,73.0,43.0,10.0,8.0
6,5,4,AA,SEA,WA,DFW,TX,15.67,14.0,14.0,0.0,0.0,21.73,244.0,1660.0,7,50.0,75.0,41.0,10.0,11.0
6,5,4,AA,SEA,WA,DFW,TX,17.72,20.0,20.0,1.0,1.0,23.78,244.0,1660.0,7,49.0,75.0,40.0,10.0,14.0
6,5,4,AA,SEA,WA,DFW,TX,23.53,31.0,31.0,1.0,2.0,5.4,232.0,1660.0,7,50.0,65.0,59.0,10.0,9.0
6,5,4,AA,SEA,WA,MIA,FL,20.02,27.0,27.0,1.0,1.0,5.0,359.0,2724.0,11,51.0,66.0,59.0,10.0,8.0
6,5,4,AA,SEA,WA,ORD,IL,0.08,-8.0,0.0,0.0,-1.0,6.08,240.0,1721.0,7,50.0,53.0,89.0,10.0,3.0
6,5,4,AA,SEA,WA,ORD,IL,6.4,-5.0,0.0,0.0,-1.0,12.47,244.0,1721.0,7,51.0,54.0,90.0,5.0,0.0
6,5,4,AA,SEA,WA,ORD,IL,10.9,-7.0,0.0,0.0,-1.0,17.05,249.0,1721.0,7,53.0,65.0,66.0,10.0,9.0
6,5,4,AA,SEA,WA,ORD,IL,13.48,172.0,172.0,1.0,11.0,19.7,253.0,1721.0,7,49.0,73.0,43.0,10.0,8.0
6,5,4,AA,SEA,WA,ORD,IL,15.17,14.0,14.0,0.0,0.0,21.28,247.0,1721.0,7,50.0,75.0,41.0,10.0,11.0
6,5,4,AA,SEA,WA,PHL,PA,12.2,-5.0,0.0,0.0,-1.0,20.42,313.0,2378.0,10,51.0,71.0,49.0,10.0,13.0
6,5,4,AA,SEA,WA,PHL,PA,22.68,-11.0,0.0,0.0,-1.0,6.8,307.0,2378.0,10,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,GEG,WA,LAX,CA,7.17,-5.0,0.0,0.0,-1.0,9.88,163.0,945.0,4,43.0,63.0,48.0,10.0,5.0
6,5,4,AS,GEG,WA,PDX,OR,5.1,-10.0,0.0,0.0,-1.0,6.3,72.0,279.0,2,43.0,56.0,62.0,10.0,3.0
6,5,4,AS,GEG,WA,PDX,OR,12.45,19.0,19.0,1.0,1.0,13.55,66.0,279.0,2,36.0,78.0,22.0,10.0,7.0
6,5,4,AS,GEG,WA,SAN,CA,7.0,-10.0,0.0,0.0,-1.0,9.83,170.0,1027.0,5,43.0,63.0,48.0,10.0,5.0
6,5,4,AS,GEG,WA,SEA,WA,6.0,-6.0,0.0,0.0,-1.0,7.18,71.0,224.0,1,43.0,58.0,58.0,10.0,5.0
6,5,4,AS,GEG,WA,SEA,WA,9.5,35.0,35.0,1.0,2.0,10.65,69.0,224.0,1,40.0,72.0,31.0,10.0,3.0
6,5,4,AS,GEG,WA,SEA,WA,13.67,8.0,8.0,0.0,0.0,14.83,70.0,224.0,1,34.0,77.0,21.0,10.0,0.0
6,5,4,AS,GEG,WA,SEA,WA,17.82,41.0,41.0,1.0,2.0,19.0,71.0,224.0,1,32.0,78.0,19.0,10.0,0.0
6,5,4,AS,PAE,WA,LAS,NV,9.68,-10.0,0.0,0.0,-1.0,12.17,149.0,894.0,4,53.0,61.0,75.0,10.0,7.0
6,5,4,AS,PAE,WA,PHX,AZ,11.63,-10.0,0.0,0.0,-1.0,14.35,163.0,1133.0,5,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,PAE,WA,PHX,AZ,17.08,-15.0,0.0,0.0,-1.0,19.8,163.0,1133.0,5,53.0,67.0,61.0,10.0,8.0
6,5,4,AS,PSC,WA,SEA,WA,8.33,49.0,49.0,1.0,3.0,9.42,65.0,172.0,1,49.0,71.0,46.0,10.0,5.0
6,5,4,AS,SEA,WA,ABQ,NM,11.83,224.0,224.0,1.0,12.0,15.73,174.0,1180.0,5,52.0,68.0,57.0,10.0,9.0
6,5,4,AS,SEA,WA,ABQ,NM,20.08,-7.0,0.0,0.0,-1.0,0.1,181.0,1180.0,5,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,ANC,AK,6.0,-6.0,0.0,0.0,-1.0,8.57,214.0,1448.0,6,51.0,54.0,90.0,5.0,0.0
6,5,4,AS,SEA,WA,ANC,AK,7.0,6.0,6.0,0.0,0.0,9.67,220.0,1448.0,6,51.0,57.0,81.0,10.0,6.0
6,5,4,AS,SEA,WA,ANC,AK,8.08,21.0,21.0,1.0,1.0,10.73,219.0,1448.0,6,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,ANC,AK,9.0,0.0,0.0,0.0,0.0,11.67,220.0,1448.0,6,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,ANC,AK,9.75,20.0,20.0,1.0,1.0,12.42,220.0,1448.0,6,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,ANC,AK,10.58,11.0,11.0,0.0,0.0,13.17,215.0,1448.0,6,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,ANC,AK,11.67,21.0,21.0,1.0,1.0,14.33,220.0,1448.0,6,52.0,68.0,57.0,10.0,9.0
6,5,4,AS,SEA,WA,ANC,AK,12.83,6.0,6.0,0.0,0.0,15.5,220.0,1448.0,6,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,ANC,AK,13.98,23.0,23.0,1.0,1.0,16.57,215.0,1448.0,6,49.0,73.0,43.0,10.0,8.0
6,5,4,AS,SEA,WA,ANC,AK,14.83,1.0,1.0,0.0,0.0,17.43,216.0,1448.0,6,49.0,75.0,40.0,10.0,8.0
6,5,4,AS,SEA,WA,ANC,AK,15.83,18.0,18.0,1.0,1.0,18.38,213.0,1448.0,6,50.0,75.0,41.0,10.0,11.0
6,5,4,AS,SEA,WA,ANC,AK,17.2,-1.0,0.0,0.0,-1.0,19.8,216.0,1448.0,6,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,ANC,AK,17.98,45.0,45.0,1.0,3.0,20.58,216.0,1448.0,6,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,ANC,AK,18.98,-6.0,0.0,0.0,-1.0,21.6,217.0,1448.0,6,48.0,73.0,41.0,10.0,8.0
6,5,4,AS,SEA,WA,ANC,AK,20.75,9.0,9.0,0.0,0.0,23.33,215.0,1448.0,6,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,ANC,AK,21.33,43.0,43.0,1.0,2.0,23.97,218.0,1448.0,6,50.0,66.0,56.0,10.0,11.0
6,5,4,AS,SEA,WA,ANC,AK,23.98,35.0,35.0,1.0,2.0,2.52,212.0,1448.0,6,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,ATL,GA,9.0,46.0,46.0,1.0,3.0,16.93,296.0,2182.0,9,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,ATL,GA,16.07,-6.0,0.0,0.0,-1.0,23.98,295.0,2182.0,9,50.0,77.0,39.0,10.0,10.0
6,5,4,AS,SEA,WA,ATL,GA,23.98,64.0,64.0,1.0,4.0,7.82,290.0,2182.0,9,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,AUS,TX,8.92,-7.0,0.0,0.0,-1.0,15.13,253.0,1770.0,8,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,AUS,TX,11.73,10.0,10.0,0.0,0.0,17.98,255.0,1770.0,8,52.0,68.0,57.0,10.0,9.0
6,5,4,AS,SEA,WA,AUS,TX,17.87,0.0,0.0,0.0,0.0,23.98,247.0,1770.0,8,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,AUS,TX,23.98,24.0,24.0,1.0,1.0,6.08,246.0,1770.0,8,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,BNA,TN,10.28,52.0,52.0,1.0,3.0,16.83,273.0,1978.0,8,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,BNA,TN,17.67,18.0,18.0,1.0,1.0,23.98,259.0,1978.0,8,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,BNA,TN,23.32,13.0,13.0,0.0,0.0,5.67,261.0,1978.0,8,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,BOI,ID,12.62,23.0,23.0,1.0,1.0,15.1,89.0,399.0,2,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,BOI,ID,20.25,92.0,92.0,1.0,6.0,22.7,87.0,399.0,2,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,BOS,MA,8.22,-5.0,0.0,0.0,-1.0,16.75,332.0,2496.0,10,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,BOS,MA,10.43,-5.0,0.0,0.0,-1.0,18.98,333.0,2496.0,10,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,BOS,MA,15.67,3.0,3.0,0.0,0.0,0.1,326.0,2496.0,10,50.0,75.0,41.0,10.0,11.0
6,5,4,AS,SEA,WA,BOS,MA,23.0,7.0,7.0,0.0,0.0,7.33,320.0,2496.0,10,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,BUR,CA,7.33,-6.0,0.0,0.0,-1.0,9.83,150.0,937.0,4,51.0,57.0,81.0,10.0,6.0
6,5,4,AS,SEA,WA,BUR,CA,9.83,19.0,19.0,1.0,1.0,12.35,151.0,937.0,4,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,BUR,CA,13.93,8.0,8.0,0.0,0.0,16.45,151.0,937.0,4,49.0,73.0,43.0,10.0,8.0
6,5,4,AS,SEA,WA,BUR,CA,15.75,-1.0,0.0,0.0,-1.0,18.28,152.0,937.0,4,50.0,75.0,41.0,10.0,11.0
6,5,4,AS,SEA,WA,BUR,CA,19.48,-11.0,0.0,0.0,-1.0,21.98,150.0,937.0,4,50.0,69.0,51.0,10.0,9.0
6,5,4,AS,SEA,WA,BWI,MD,9.93,6.0,6.0,0.0,0.0,18.08,309.0,2335.0,10,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,BWI,MD,22.45,-4.0,0.0,0.0,-1.0,6.48,302.0,2335.0,10,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,BZN,MT,12.43,10.0,10.0,0.0,0.0,15.08,99.0,543.0,3,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,BZN,MT,16.0,11.0,11.0,0.0,0.0,18.63,98.0,543.0,3,50.0,77.0,39.0,10.0,10.0
6,5,4,AS,SEA,WA,CHS,SC,9.5,26.0,26.0,1.0,1.0,17.85,321.0,2415.0,10,52.0,61.0,72.0,10.0,7.0
